hidden_dim,batch_size,n_epochs,dropout,layers
8,1024,1000,0,1
8,2048,1000,0,1
8,8192,1000,0,1
16,1024,1000,0,1
16,2048,1000,0,1
16,8192,1000,0,1
24,1024,1000,0,1
24,2048,1000,0,1
24,8192,1000,0,1
32,1024,1000,0,1
32,2048,1000,0,1
32,8192,1000,0,1
40,1024,1000,0,1
40,2048,1000,0,1
40,8192,1000,0,1
48,1024,1000,0,1
48,2048,1000,0,1
48,8192,1000,0,1
56,1024,1000,0,1
56,2048,1000,0,1
56,8192,1000,0,1
64,1024,1000,0,1
64,2048,1000,0,1
64,8192,1000,0,1
200,64,100,0,1
200,64,300,0,1
200,64,500,0,1
200,64,700,0,1
200,64,900,0,1
200,128,100,0,1
200,128,300,0,1
200,128,500,0,1
200,128,700,0,1
200,128,900,0,1
200,256,100,0,1
200,256,300,0,1
200,256,500,0,1
200,256,700,0,1
200,256,900,0,1
200,512,100,0,1
200,512,300,0,1
200,512,500,0,1
200,512,700,0,1
200,512,900,0,1
200,1024,100,0,1
200,1024,300,0,1
200,1024,500,0,1
200,1024,700,0,1
200,1024,900,0,1
200,2048,100,0,1
200,2048,300,0,1
200,2048,500,0,1
200,2048,700,0,1
200,2048,900,0,1
200,4096,100,0,1
200,4096,300,0,1
200,4096,500,0,1
200,4096,700,0,1
200,4096,900,0,1
200,8192,100,0,1
200,8192,300,0,1
200,8192,500,0,1
200,8192,700,0,1
200,8192,900,0,1
400,64,100,0,1
400,64,300,0,1
400,64,500,0,1
400,64,700,0,1
400,64,900,0,1
400,128,100,0,1
400,128,300,0,1
400,128,500,0,1
400,128,700,0,1
400,128,900,0,1
400,256,100,0,1
400,256,300,0,1
400,256,500,0,1
400,256,700,0,1
400,256,900,0,1
400,512,100,0,1
400,512,300,0,1
400,512,500,0,1
400,512,700,0,1
400,512,900,0,1
400,1024,100,0,1
400,1024,300,0,1
400,1024,500,0,1
400,1024,700,0,1
400,1024,900,0,1
400,2048,100,0,1
400,2048,300,0,1
400,2048,500,0,1
400,2048,700,0,1
400,2048,900,0,1
400,4096,100,0,1
400,4096,300,0,1
400,4096,500,0,1
400,4096,700,0,1
400,4096,900,0,1
400,8192,100,0,1
400,8192,300,0,1
400,8192,500,0,1
400,8192,700,0,1
400,8192,900,0,1
600,64,100,0,1
600,64,300,0,1
600,64,500,0,1
600,64,700,0,1
600,64,900,0,1
600,128,100,0,1
600,128,300,0,1
600,128,500,0,1
600,128,700,0,1
600,128,900,0,1
600,256,100,0,1
600,256,300,0,1
600,256,500,0,1
600,256,700,0,1
600,256,900,0,1
600,512,100,0,1
600,512,300,0,1
600,512,500,0,1
600,512,700,0,1
600,512,900,0,1
600,1024,100,0,1
600,1024,300,0,1
600,1024,500,0,1
600,1024,700,0,1
600,1024,900,0,1
600,2048,100,0,1
600,2048,300,0,1
600,2048,500,0,1
600,2048,700,0,1
600,2048,900,0,1
600,4096,100,0,1
600,4096,300,0,1
600,4096,500,0,1
600,4096,700,0,1
600,4096,900,0,1
600,8192,100,0,1
600,8192,300,0,1
600,8192,500,0,1
600,8192,700,0,1
600,8192,900,0,1
800,64,100,0,1
800,64,300,0,1
800,64,500,0,1
800,64,700,0,1
800,64,900,0,1
800,128,100,0,1
800,128,300,0,1
800,128,500,0,1
800,128,700,0,1
800,128,900,0,1
800,256,100,0,1
800,256,300,0,1
800,256,500,0,1
800,256,700,0,1
800,256,900,0,1
800,512,100,0,1
800,512,300,0,1
800,512,500,0,1
800,512,700,0,1
800,512,900,0,1
800,1024,100,0,1
800,1024,300,0,1
800,1024,500,0,1
800,1024,700,0,1
800,1024,900,0,1
800,2048,100,0,1
800,2048,300,0,1
800,2048,500,0,1
800,2048,700,0,1
800,2048,900,0,1
800,4096,100,0,1
800,4096,300,0,1
800,4096,500,0,1
800,4096,700,0,1
800,4096,900,0,1
800,8192,100,0,1
800,8192,300,0,1
800,8192,500,0,1
800,8192,700,0,1
800,8192,900,0,1
1000,64,100,0,1
1000,64,300,0,1
1000,64,500,0,1
1000,64,700,0,1
1000,64,900,0,1
1000,128,100,0,1
1000,128,300,0,1
1000,128,500,0,1
1000,128,700,0,1
1000,128,900,0,1
1000,256,100,0,1
1000,256,300,0,1
1000,256,500,0,1
1000,256,700,0,1
1000,256,900,0,1
1000,512,100,0,1
1000,512,300,0,1
1000,512,500,0,1
1000,512,700,0,1
1000,512,900,0,1
1000,1024,100,0,1
1000,1024,300,0,1
1000,1024,500,0,1
1000,1024,700,0,1
1000,1024,900,0,1
1000,2048,100,0,1
1000,2048,300,0,1
1000,2048,500,0,1
1000,2048,700,0,1
1000,2048,900,0,1
1000,4096,100,0,1
1000,4096,300,0,1
1000,4096,500,0,1
1000,4096,700,0,1
1000,4096,900,0,1
1000,8192,100,0,1
1000,8192,300,0,1
1000,8192,500,0,1
1000,8192,700,0,1
1000,8192,900,0,1
100,2048,800,0.1,2
500,2048,800,0.1,2
500,4096,800,0.1,2
500,8192,800,0.1,2
100,2048,800,0.1,3
500,2048,800,0.1,3
500,4096,800,0.1,3
500,8192,800,0.1,3
100,2048,800,0.1,4
500,2048,800,0.1,4
500,4096,800,0.1,4
500,8192,800,0.1,4
100,2048,800,0.15,2
500,2048,800,0.15,2
500,4096,800,0.15,2
500,8192,800,0.15,2
100,2048,800,0.15,3
500,2048,800,0.15,3
500,4096,800,0.15,3
500,8192,800,0.15,3
100,2048,800,0.15,4
500,2048,800,0.15,4
500,4096,800,0.15,4
500,8192,800,0.15,4
100,2048,800,0.2,2
500,2048,800,0.2,2
500,4096,800,0.2,2
500,8192,800,0.2,2
100,2048,800,0.2,3
500,2048,800,0.2,3
500,4096,800,0.2,3
500,8192,800,0.2,3
100,2048,800,0.2,4
500,2048,800,0.2,4
500,4096,800,0.2,4
500,8192,800,0.2,4
100,2048,800,0.25,2
500,2048,800,0.25,2
500,4096,800,0.25,2
500,8192,800,0.25,2
100,2048,800,0.25,3
500,2048,800,0.25,3
500,4096,800,0.25,3
500,8192,800,0.25,3
100,2048,800,0.25,4
500,2048,800,0.25,4
500,4096,800,0.25,4
500,8192,800,0.25,4
100,2048,800,0.3,2
500,2048,800,0.3,2
500,4096,800,0.3,2
500,8192,800,0.3,2
100,2048,800,0.3,3
500,2048,800,0.3,3
500,4096,800,0.3,3
500,8192,800,0.3,3
100,2048,800,0.3,4
500,2048,800,0.3,4
500,4096,800,0.3,4
500,8192,800,0.3,4
