hidden_dim, batch_size, n_epochs, dropout
4, 16, 500, 0.2
4, 16, 500, 0.4
4, 16, 750, 0.2
4, 16, 750, 0.4
4, 16, 1000, 0.2
4, 16, 1000, 0.4
4, 32, 500, 0.2
4, 32, 500, 0.4
4, 32, 750, 0.2
4, 32, 750, 0.4
4, 32, 1000, 0.2
4, 32, 1000, 0.4
4, 64, 500, 0.2
4, 64, 500, 0.4
4, 64, 750, 0.2
4, 64, 750, 0.4
4, 64, 1000, 0.2
4, 64, 1000, 0.4
4, 128, 500, 0.2
4, 128, 500, 0.4
4, 128, 750, 0.2
4, 128, 750, 0.4
4, 128, 1000, 0.2
4, 128, 1000, 0.4
4, 256, 500, 0.2
4, 256, 500, 0.4
4, 256, 750, 0.2
4, 256, 750, 0.4
4, 256, 1000, 0.2
4, 256, 1000, 0.4
4, 512, 500, 0.2
4, 512, 500, 0.4
4, 512, 750, 0.2
4, 512, 750, 0.4
4, 512, 1000, 0.2
4, 512, 1000, 0.4
4, 1024, 500, 0.2
4, 1024, 500, 0.4
4, 1024, 750, 0.2
4, 1024, 750, 0.4
4, 1024, 1000, 0.2
4, 1024, 1000, 0.4
4, 2048, 500, 0.2
4, 2048, 500, 0.4
4, 2048, 750, 0.2
4, 2048, 750, 0.4
4, 2048, 1000, 0.2
4, 2048, 1000, 0.4
4, 4096, 500, 0.2
4, 4096, 500, 0.4
4, 4096, 750, 0.2
4, 4096, 750, 0.4
4, 4096, 1000, 0.2
4, 4096, 1000, 0.4
4, 8192, 500, 0.2
4, 8192, 500, 0.4
4, 8192, 750, 0.2
4, 8192, 750, 0.4
4, 8192, 1000, 0.2
4, 8192, 1000, 0.4
8, 16, 500, 0.2
8, 16, 500, 0.4
8, 16, 750, 0.2
8, 16, 750, 0.4
8, 16, 1000, 0.2
8, 16, 1000, 0.4
8, 32, 500, 0.2
8, 32, 500, 0.4
8, 32, 750, 0.2
8, 32, 750, 0.4
8, 32, 1000, 0.2
8, 32, 1000, 0.4
8, 64, 500, 0.2
8, 64, 500, 0.4
8, 64, 750, 0.2
8, 64, 750, 0.4
8, 64, 1000, 0.2
8, 64, 1000, 0.4
8, 128, 500, 0.2
8, 128, 500, 0.4
8, 128, 750, 0.2
8, 128, 750, 0.4
8, 128, 1000, 0.2
8, 128, 1000, 0.4
8, 256, 500, 0.2
8, 256, 500, 0.4
8, 256, 750, 0.2
8, 256, 750, 0.4
8, 256, 1000, 0.2
8, 256, 1000, 0.4
8, 512, 500, 0.2
8, 512, 500, 0.4
8, 512, 750, 0.2
8, 512, 750, 0.4
8, 512, 1000, 0.2
8, 512, 1000, 0.4
8, 1024, 500, 0.2
8, 1024, 500, 0.4
8, 1024, 750, 0.2
8, 1024, 750, 0.4
8, 1024, 1000, 0.2
8, 1024, 1000, 0.4
8, 2048, 500, 0.2
8, 2048, 500, 0.4
8, 2048, 750, 0.2
8, 2048, 750, 0.4
8, 2048, 1000, 0.2
8, 2048, 1000, 0.4
8, 4096, 500, 0.2
8, 4096, 500, 0.4
8, 4096, 750, 0.2
8, 4096, 750, 0.4
8, 4096, 1000, 0.2
8, 4096, 1000, 0.4
8, 8192, 500, 0.2
8, 8192, 500, 0.4
8, 8192, 750, 0.2
8, 8192, 750, 0.4
8, 8192, 1000, 0.2
8, 8192, 1000, 0.4
12, 16, 500, 0.2
12, 16, 500, 0.4
12, 16, 750, 0.2
12, 16, 750, 0.4
12, 16, 1000, 0.2
12, 16, 1000, 0.4
12, 32, 500, 0.2
12, 32, 500, 0.4
12, 32, 750, 0.2
12, 32, 750, 0.4
12, 32, 1000, 0.2
12, 32, 1000, 0.4
12, 64, 500, 0.2
12, 64, 500, 0.4
12, 64, 750, 0.2
12, 64, 750, 0.4
12, 64, 1000, 0.2
12, 64, 1000, 0.4
12, 128, 500, 0.2
12, 128, 500, 0.4
12, 128, 750, 0.2
12, 128, 750, 0.4
12, 128, 1000, 0.2
12, 128, 1000, 0.4
12, 256, 500, 0.2
12, 256, 500, 0.4
12, 256, 750, 0.2
12, 256, 750, 0.4
12, 256, 1000, 0.2
12, 256, 1000, 0.4
12, 512, 500, 0.2
