hidden_dim,batch_size,lr_adam,lr_epochs,lr_multiplicator,n_epochs
16,16,0.0001,50,0.5,500
16,32,0.0001,50,0.5,500
16,64,0.0001,50,0.5,500
16,128,0.0001,50,0.5,500
16,256,0.0001,50,0.5,500
16,512,0.0001,50,0.5,500
16,1024,0.0001,50,0.5,500
16,2048,0.0001,50,0.5,500
32,16,0.0001,50,0.5,500
32,32,0.0001,50,0.5,500
32,64,0.0001,50,0.5,500
32,128,0.0001,50,0.5,500
32,256,0.0001,50,0.5,500
32,512,0.0001,50,0.5,500
32,1024,0.0001,50,0.5,500
32,2048,0.0001,50,0.5,500
64,16,0.0001,50,0.5,500
64,32,0.0001,50,0.5,500
64,64,0.0001,50,0.5,500
64,128,0.0001,50,0.5,500
64,256,0.0001,50,0.5,500
64,512,0.0001,50,0.5,500
64,1024,0.0001,50,0.5,500
64,2048,0.0001,50,0.5,500
128,16,0.0001,50,0.5,500
128,32,0.0001,50,0.5,500
128,64,0.0001,50,0.5,500
128,128,0.0001,50,0.5,500
128,256,0.0001,50,0.5,500
128,512,0.0001,50,0.5,500
128,1024,0.0001,50,0.5,500
128,2048,0.0001,50,0.5,500
256,16,0.0001,50,0.5,500
256,32,0.0001,50,0.5,500
256,64,0.0001,50,0.5,500
256,128,0.0001,50,0.5,500
256,256,0.0001,50,0.5,500
256,512,0.0001,50,0.5,500
256,1024,0.0001,50,0.5,500
256,2048,0.0001,50,0.5,500
512,16,0.0001,50,0.5,500
512,32,0.0001,50,0.5,500
512,64,0.0001,50,0.5,500
512,128,0.0001,50,0.5,500
512,256,0.0001,50,0.5,500
512,512,0.0001,50,0.5,500
512,1024,0.0001,50,0.5,500
512,2048,0.0001,50,0.5,500
1024,16,0.0001,50,0.5,500
1024,32,0.0001,50,0.5,500
1024,64,0.0001,50,0.5,500
1024,128,0.0001,50,0.5,500
1024,256,0.0001,50,0.5,500
1024,512,0.0001,50,0.5,500
1024,1024,0.0001,50,0.5,500
1024,2048,0.0001,50,0.5,500
2048,16,0.0001,50,0.5,500
2048,32,0.0001,50,0.5,500
2048,64,0.0001,50,0.5,500
2048,128,0.0001,50,0.5,500
2048,256,0.0001,50,0.5,500
2048,512,0.0001,50,0.5,500
2048,1024,0.0001,50,0.5,500
2048,2048,0.0001,50,0.5,500
1024,512,0.0001,50,0.3,500
1024,512,0.0001,50,0.5,500
1024,512,0.0001,50,0.7,500
2048,1024,0.0001,50,0.3,500
2048,1024,0.0001,50,0.5,500
2048,1024,0.0001,50,0.7,500
