hidden_dim,batch_size,lr_adam,lr_epochs,lr_multiplicator,weight_decay_adam,n_epochs
256,256,0.0001,50,0.5,0.000000000001,500
256,512,0.0001,50,0.5,0.000000000001,500
256,1024,0.0001,50,0.5,0.000000000001,500
512,256,0.0001,50,0.5,0.000000000001,500
512,512,0.0001,50,0.5,0.000000000001,500
512,1024,0.0001,50,0.5,0.000000000001,500
1024,256,0.0001,50,0.5,0.000000000001,500
1024,512,0.0001,50,0.5,0.000000000001,500
1024,1024,0.0001,50,0.5,0.000000000001,500
2048,1024,0.0001,50,0.5,0.000000000001,500
