hidden_dim,batch_size,lr_adam,lr_epochs,lr_multiplicator,weight_decay_adam,layers,dropout,n_epochs
256,128,0.0001,50,0.2,0.000000000001,1,0,500
256,128,0.0001,50,0.3,0.000000000001,1,0,500
256,128,0.0001,30,0.5,0.000000000001,1,0,500
256,128,0.0003,30,0.5,0.000000000001,1,0,500
256,64,0.0006,30,0.3,0.000000000001,1,0,500
256,64,0.0008,30,0.3,0.000000000001,1,0,500
256,128,0.0001,50,0.2,0.000000000001,1,0,500
256,128,0.0001,50,0.3,0.000000000001,1,0,500
256,128,0.0001,30,0.5,0.000000000001,1,0,500
256,128,0.0003,30,0.5,0.000000000001,1,0,500
256,64,0.0006,30,0.3,0.000000000001,1,0,500
256,64,0.0008,30,0.3,0.000000000001,1,0,500
512,128,0.0001,50,0.2,0.000000000001,1,0,500
512,128,0.0001,50,0.3,0.000000000001,1,0,500
512,128,0.0001,30,0.5,0.000000000001,1,0,500
512,128,0.0003,30,0.5,0.000000000001,1,0,500
512,64,0.0006,30,0.3,0.000000000001,1,0,500
512,64,0.0008,30,0.3,0.000000000001,1,0,500
512,128,0.0001,50,0.2,0.000000000001,1,0,500
512,128,0.0001,50,0.3,0.000000000001,1,0,500
512,128,0.0001,30,0.5,0.000000000001,1,0,500
512,128,0.0003,30,0.5,0.000000000001,1,0,500
512,64,0.0006,30,0.3,0.000000000001,1,0,500
512,64,0.0008,30,0.3,0.000000000001,1,0,500
256,128,0.00015,50,0.3,0.0000000000001,1,0,500
256,128,0.00012,50,0.3,0.0000000000001,1,0,500
256,128,0.00005,50,0.3,0.0000000000001,1,0,500
256,128,0.00008,30,0.3,0.0000000000001,1,0,500
256,128,0.0001,50,0.2,0.0000000000001,1,0,500
256,128,0.0001,50,0.3,0.0000000000001,1,0,500
256,128,0.0001,30,0.5,0.0000000000001,1,0,500
256,128,0.0003,30,0.5,0.0000000000001,1,0,500
256,64,0.0006,30,0.3,0.0000000000001,1,0,500
256,64,0.0008,30,0.3,0.0000000000001,1,0,500
256,128,0.0001,50,0.2,0.0000000000001,1,0,500
256,128,0.0001,50,0.3,0.0000000000001,1,0,500
256,128,0.0001,30,0.5,0.0000000000001,1,0,500
256,128,0.0003,30,0.5,0.0000000000001,1,0,500
256,64,0.0006,30,0.3,0.0000000000001,1,0,500
256,64,0.0008,30,0.3,0.0000000000001,1,0,500
256,128,0.0001,50,0.2,0.00000000000001,1,0,500
256,128,0.0001,50,0.3,0.00000000000001,1,0,500
256,128,0.0001,30,0.5,0.00000000000001,1,0,500
256,128,0.0003,30,0.5,0.00000000000001,1,0,500
256,64,0.0006,30,0.3,0.00000000000001,1,0,500
256,64,0.0008,30,0.3,0.00000000000001,1,0,500
256,128,0.0001,50,0.2,0.00000000000001,1,0,500
256,128,0.0001,50,0.3,0.00000000000001,1,0,500
256,128,0.0001,30,0.5,0.00000000000001,1,0,500
256,128,0.0003,30,0.5,0.00000000000001,1,0,500
256,64,0.0006,30,0.3,0.00000000000001,1,0,500
256,64,0.0008,30,0.3,0.00000000000001,1,0,500
256,128,0.0001,50,0.2,0.00000000001,1,0,500
256,128,0.0001,50,0.3,0.00000000001,1,0,500
256,128,0.0001,30,0.5,0.00000000001,1,0,500
256,128,0.0003,30,0.5,0.00000000001,1,0,500
256,64,0.0006,30,0.3,0.00000000001,1,0,500
256,64,0.0008,30,0.3,0.00000000001,1,0,500
256,128,0.0001,50,0.2,0.00000000001,1,0,500
256,128,0.0001,50,0.3,0.00000000001,1,0,500
