hidden_dim,batch_size,n_epochs,dropout,layers
32,1024,1000,0,1
32,2048,1000,0,1
32,8192,1000,0,1
40,1024,1000,0,1
40,2048,1000,0,1
40,8192,1000,0,1
48,1024,1000,0,1
48,2048,1000,0,1
48,8192,1000,0,1
56,1024,1000,0,1
56,2048,1000,0,1
56,8192,1000,0,1
64,1024,1000,0,1
64,2048,1000,0,1
64,8192,1000,0,1
200,1024,600,0,1
200,1024,800,0,1
200,1024,1000,0,1
200,2048,600,0,1
200,2048,800,0,1
200,2048,1000,0,1
200,4096,600,0,1
200,4096,800,0,1
200,4096,1000,0,1
200,8192,600,0,1
200,8192,800,0,1
200,8192,1000,0,1
400,1024,600,0,1
400,1024,800,0,1
400,1024,1000,0,1
400,2048,600,0,1
400,2048,800,0,1
400,2048,1000,0,1
400,4096,600,0,1
400,4096,800,0,1
400,4096,1000,0,1
400,8192,600,0,1
400,8192,800,0,1
400,8192,1000,0,1
600,1024,600,0,1
600,1024,800,0,1
600,1024,1000,0,1
600,2048,600,0,1
600,2048,800,0,1
600,2048,1000,0,1
600,4096,600,0,1
600,4096,800,0,1
600,4096,1000,0,1
600,8192,600,0,1
600,8192,800,0,1
600,8192,1000,0,1
800,1024,600,0,1
800,1024,800,0,1
800,1024,1000,0,1
800,2048,600,0,1
800,2048,800,0,1
800,2048,1000,0,1
800,4096,600,0,1
800,4096,800,0,1
800,4096,1000,0,1
800,8192,600,0,1
800,8192,800,0,1
800,8192,1000,0,1
1000,1024,600,0,1
1000,1024,800,0,1
1000,1024,1000,0,1
1000,2048,600,0,1
1000,2048,800,0,1
1000,2048,1000,0,1
1000,4096,600,0,1
1000,4096,800,0,1
1000,4096,1000,0,1
1000,8192,600,0,1
1000,8192,800,0,1
1000,8192,1000,0,1
100,2048,800,0.1,2
500,2048,800,0.1,2
500,4096,800,0.1,2
500,8192,800,0.1,2
100,2048,800,0.1,3
500,2048,800,0.1,3
500,4096,800,0.1,3
500,8192,800,0.1,3
100,2048,800,0.1,4
500,2048,800,0.1,4
500,4096,800,0.1,4
500,8192,800,0.1,4
100,2048,800,0.15,2
500,2048,800,0.15,2
500,4096,800,0.15,2
500,8192,800,0.15,2
100,2048,800,0.15,3
500,2048,800,0.15,3
500,4096,800,0.15,3
500,8192,800,0.15,3
100,2048,800,0.15,4
500,2048,800,0.15,4
500,4096,800,0.15,4
500,8192,800,0.15,4
100,2048,800,0.2,2
500,2048,800,0.2,2
500,4096,800,0.2,2
500,8192,800,0.2,2
100,2048,800,0.2,3
500,2048,800,0.2,3
500,4096,800,0.2,3
500,8192,800,0.2,3
100,2048,800,0.2,4
500,2048,800,0.2,4
500,4096,800,0.2,4
500,8192,800,0.2,4
100,2048,800,0.25,2
500,2048,800,0.25,2
500,4096,800,0.25,2
500,8192,800,0.25,2
100,2048,800,0.25,3
500,2048,800,0.25,3
500,4096,800,0.25,3
500,8192,800,0.25,3
100,2048,800,0.25,4
500,2048,800,0.25,4
500,4096,800,0.25,4
500,8192,800,0.25,4
100,2048,800,0.3,2
500,2048,800,0.3,2
500,4096,800,0.3,2
500,8192,800,0.3,2
100,2048,800,0.3,3
500,2048,800,0.3,3
500,4096,800,0.3,3
500,8192,800,0.3,3
100,2048,800,0.3,4
500,2048,800,0.3,4
500,4096,800,0.3,4
500,8192,800,0.3,4
