INFO:root:LSTM Pure PyTorch: hidden_dim: 32, n_epochs: 1000, batch_size: 2048.
INFO:root:Trace path: ./data/interpolated/1556.csv
INFO:root:Prediction window = 100.0 ms
INFO:root:MAE position = 0.09717022705078125
INFO:root:MAE rotation = 3.5816332519317906
INFO:root:RMSE position = 0.16315493
INFO:root:RMSE rotation = 11.832604018629079
Traceback (most recent call last):
  File "/opt/conda/lib/python3.7/runpy.py", line 193, in _run_module_as_main
    "__main__", mod_spec)
  File "/opt/conda/lib/python3.7/runpy.py", line 85, in _run_code
    exec(code, run_globals)
  File "/opt/UserPrediction6DOF/__main__.py", line 45, in <module>
    APPLICATION.run()
  File "/opt/UserPrediction6DOF/application.py", line 88, in run
    self.run_lstm()
  File "/opt/UserPrediction6DOF/application.py", line 124, in run_lstm
    runner.run()
  File "/opt/UserPrediction6DOF/runners.py", line 394, in run
    'euc_dists_lstm_{}_{}ms.npy'.format(basename, int(w * 1e3))), euc_dists)
  File "<__array_function__ internals>", line 6, in save
  File "/opt/conda/lib/python3.7/site-packages/numpy/lib/npyio.py", line 525, in save
    file_ctx = open(file, "wb")
OSError: [Errno 30] Read-only file system: './results/tabular/distances/euc_dists_lstm_1556_100ms.npy'
-------------------------------------------------------------------------
-------------------------------------------------------------------------
X_train (72000, 11), X_val (24000, 11), X_test(24000, 11), y_train (72000, 7), y_val (24000, 7), y_test (24000, 7)
[1/1000] Training loss: 4.9832	 Validation loss: 3.1265
[2/1000] Training loss: 4.7088	 Validation loss: 2.9146
[3/1000] Training loss: 4.3924	 Validation loss: 2.6567
[4/1000] Training loss: 4.0106	 Validation loss: 2.3521
[5/1000] Training loss: 3.5767	 Validation loss: 2.0237
[10/1000] Training loss: 1.6141	 Validation loss: 0.7819
[15/1000] Training loss: 0.6833	 Validation loss: 0.3835
[20/1000] Training loss: 0.3938	 Validation loss: 0.3335
[25/1000] Training loss: 0.2674	 Validation loss: 0.2835
[30/1000] Training loss: 0.1837	 Validation loss: 0.2273
[35/1000] Training loss: 0.1282	 Validation loss: 0.1806
[40/1000] Training loss: 0.0912	 Validation loss: 0.1451
[45/1000] Training loss: 0.0666	 Validation loss: 0.1193
[50/1000] Training loss: 0.0501	 Validation loss: 0.1005
[55/1000] Training loss: 0.0388	 Validation loss: 0.0869
[60/1000] Training loss: 0.0309	 Validation loss: 0.0769
[65/1000] Training loss: 0.0253	 Validation loss: 0.0693
[70/1000] Training loss: 0.0212	 Validation loss: 0.0636
[75/1000] Training loss: 0.0181	 Validation loss: 0.0591
[80/1000] Training loss: 0.0158	 Validation loss: 0.0556
[85/1000] Training loss: 0.0139	 Validation loss: 0.0527
[90/1000] Training loss: 0.0125	 Validation loss: 0.0502
[95/1000] Training loss: 0.0113	 Validation loss: 0.0480
[100/1000] Training loss: 0.0103	 Validation loss: 0.0460
[105/1000] Training loss: 0.0094	 Validation loss: 0.0442
[110/1000] Training loss: 0.0087	 Validation loss: 0.0423
[115/1000] Training loss: 0.0081	 Validation loss: 0.0406
[120/1000] Training loss: 0.0075	 Validation loss: 0.0388
[125/1000] Training loss: 0.0070	 Validation loss: 0.0372
[130/1000] Training loss: 0.0065	 Validation loss: 0.0356
[135/1000] Training loss: 0.0061	 Validation loss: 0.0340
[140/1000] Training loss: 0.0058	 Validation loss: 0.0326
[145/1000] Training loss: 0.0054	 Validation loss: 0.0313
[150/1000] Training loss: 0.0051	 Validation loss: 0.0301
[155/1000] Training loss: 0.0048	 Validation loss: 0.0289
[160/1000] Training loss: 0.0046	 Validation loss: 0.0279
[165/1000] Training loss: 0.0044	 Validation loss: 0.0269
[170/1000] Training loss: 0.0042	 Validation loss: 0.0260
[175/1000] Training loss: 0.0041	 Validation loss: 0.0251
[180/1000] Training loss: 0.0039	 Validation loss: 0.0244
[185/1000] Training loss: 0.0038	 Validation loss: 0.0237
[190/1000] Training loss: 0.0037	 Validation loss: 0.0231
[195/1000] Training loss: 0.0036	 Validation loss: 0.0226
[200/1000] Training loss: 0.0035	 Validation loss: 0.0222
[205/1000] Training loss: 0.0034	 Validation loss: 0.0218
[210/1000] Training loss: 0.0033	 Validation loss: 0.0215
[215/1000] Training loss: 0.0032	 Validation loss: 0.0213
[220/1000] Training loss: 0.0031	 Validation loss: 0.0210
[225/1000] Training loss: 0.0031	 Validation loss: 0.0208
[230/1000] Training loss: 0.0030	 Validation loss: 0.0207
[235/1000] Training loss: 0.0030	 Validation loss: 0.0198
[240/1000] Training loss: 0.0056	 Validation loss: 0.0162
[245/1000] Training loss: 0.0029	 Validation loss: 0.0195
[250/1000] Training loss: 0.0027	 Validation loss: 0.0193
[255/1000] Training loss: 0.0027	 Validation loss: 0.0190
[260/1000] Training loss: 0.0027	 Validation loss: 0.0189
[265/1000] Training loss: 0.0026	 Validation loss: 0.0189
[270/1000] Training loss: 0.0026	 Validation loss: 0.0189
[275/1000] Training loss: 0.0026	 Validation loss: 0.0186
[280/1000] Training loss: 0.0037	 Validation loss: 0.0213
[285/1000] Training loss: 0.0065	 Validation loss: 0.0179
[290/1000] Training loss: 0.0026	 Validation loss: 0.0187
[295/1000] Training loss: 0.0025	 Validation loss: 0.0193
[300/1000] Training loss: 0.0025	 Validation loss: 0.0195
[305/1000] Training loss: 0.0024	 Validation loss: 0.0193
[310/1000] Training loss: 0.0024	 Validation loss: 0.0195
[315/1000] Training loss: 0.0024	 Validation loss: 0.0182
[320/1000] Training loss: 0.0056	 Validation loss: 0.0261
[325/1000] Training loss: 0.0025	 Validation loss: 0.0186
[330/1000] Training loss: 0.0024	 Validation loss: 0.0190
[335/1000] Training loss: 0.0024	 Validation loss: 0.0184
[340/1000] Training loss: 0.0024	 Validation loss: 0.0179
[345/1000] Training loss: 0.0033	 Validation loss: 0.0168
[350/1000] Training loss: 0.0037	 Validation loss: 0.0160
[355/1000] Training loss: 0.0026	 Validation loss: 0.0180
[360/1000] Training loss: 0.0027	 Validation loss: 0.0182
[365/1000] Training loss: 0.0034	 Validation loss: 0.0223
[370/1000] Training loss: 0.0023	 Validation loss: 0.0178
[375/1000] Training loss: 0.0024	 Validation loss: 0.0192
[380/1000] Training loss: 0.0024	 Validation loss: 0.0175
[385/1000] Training loss: 0.0048	 Validation loss: 0.0234
[390/1000] Training loss: 0.0023	 Validation loss: 0.0179
[395/1000] Training loss: 0.0023	 Validation loss: 0.0189
[400/1000] Training loss: 0.0023	 Validation loss: 0.0181
[405/1000] Training loss: 0.0026	 Validation loss: 0.0190
[410/1000] Training loss: 0.0044	 Validation loss: 0.0213
[415/1000] Training loss: 0.0027	 Validation loss: 0.0193
[420/1000] Training loss: 0.0023	 Validation loss: 0.0177
[425/1000] Training loss: 0.0023	 Validation loss: 0.0180
