INFO:root:LSTM Pure PyTorch: hidden_dim: 36, n_epochs: 740, batch_size: 8192.
INFO:root:Trace path: data/flipped/1556.csv
INFO:root:Prediction window = 100.0 ms
INFO:root:MAE position = 0.08035463460286459
INFO:root:MAE rotation = 2.5815868361505734
INFO:root:RMSE position = 0.15950781
INFO:root:RMSE rotation = 3.4578907741027445
Traceback (most recent call last):
  File "/opt/conda/lib/python3.7/runpy.py", line 193, in _run_module_as_main
    "__main__", mod_spec)
  File "/opt/conda/lib/python3.7/runpy.py", line 85, in _run_code
    exec(code, run_globals)
  File "/opt/UserPrediction6DOF/__main__.py", line 45, in <module>
    APPLICATION.run()
  File "/opt/UserPrediction6DOF/application.py", line 91, in run
    self.run_lstm()
  File "/opt/UserPrediction6DOF/application.py", line 138, in run_lstm
    runner.run()
  File "/opt/UserPrediction6DOF/runners.py", line 394, in run
    'euc_dists_lstm_{}_{}ms.npy'.format(basename, int(w * 1e3))), euc_dists)
  File "<__array_function__ internals>", line 6, in save
  File "/opt/conda/lib/python3.7/site-packages/numpy/lib/npyio.py", line 525, in save
    file_ctx = open(file, "wb")
OSError: [Errno 30] Read-only file system: './results/tabular/distances/euc_dists_lstm_1556_100ms.npy'
-------------------------------------------------------------------------
-------------------------------------------------------------------------
X_train (71999, 11), X_val (24000, 11), X_test(24000, 11), y_train (71999, 7), y_val (24000, 7), y_test (24000, 7)
[1/740] Training loss: 4.7637	 Validation loss: 3.1881
[2/740] Training loss: 4.6669	 Validation loss: 3.1215
[3/740] Training loss: 4.5724	 Validation loss: 3.0543
[4/740] Training loss: 4.4772	 Validation loss: 2.9855
[5/740] Training loss: 4.3801	 Validation loss: 2.9142
[10/740] Training loss: 3.8344	 Validation loss: 2.5053
[15/740] Training loss: 3.1768	 Validation loss: 2.0265
[20/740] Training loss: 2.4663	 Validation loss: 1.5419
[25/740] Training loss: 1.8046	 Validation loss: 1.1184
[30/740] Training loss: 1.2698	 Validation loss: 0.7959
[35/740] Training loss: 0.8884	 Validation loss: 0.5848
[40/740] Training loss: 0.6407	 Validation loss: 0.4657
[45/740] Training loss: 0.4872	 Validation loss: 0.4069
[50/740] Training loss: 0.3913	 Validation loss: 0.3787
[55/740] Training loss: 0.3271	 Validation loss: 0.3612
[60/740] Training loss: 0.2792	 Validation loss: 0.3455
[65/740] Training loss: 0.2398	 Validation loss: 0.3292
[70/740] Training loss: 0.2061	 Validation loss: 0.3125
[75/740] Training loss: 0.1771	 Validation loss: 0.2958
[80/740] Training loss: 0.1524	 Validation loss: 0.2790
[85/740] Training loss: 0.1313	 Validation loss: 0.2623
[90/740] Training loss: 0.1133	 Validation loss: 0.2460
[95/740] Training loss: 0.0980	 Validation loss: 0.2304
[100/740] Training loss: 0.0850	 Validation loss: 0.2158
[105/740] Training loss: 0.0739	 Validation loss: 0.2023
[110/740] Training loss: 0.0645	 Validation loss: 0.1898
