INFO:root:LSTM Pure PyTorch: hidden_dim: 64, n_epochs: 740, batch_size: 1024.
INFO:root:Trace path: data/flipped/1556.csv
INFO:root:Prediction window = 100.0 ms
INFO:root:MAE position = 0.15469718424479167
INFO:root:MAE rotation = 6.14234838712301
INFO:root:RMSE position = 0.21672691
INFO:root:RMSE rotation = 10.623333812277247
Traceback (most recent call last):
  File "/opt/conda/lib/python3.7/runpy.py", line 193, in _run_module_as_main
    "__main__", mod_spec)
  File "/opt/conda/lib/python3.7/runpy.py", line 85, in _run_code
    exec(code, run_globals)
  File "/opt/UserPrediction6DOF/__main__.py", line 45, in <module>
    APPLICATION.run()
  File "/opt/UserPrediction6DOF/application.py", line 91, in run
    self.run_lstm()
  File "/opt/UserPrediction6DOF/application.py", line 140, in run_lstm
    runner.run()
  File "/opt/UserPrediction6DOF/runners.py", line 394, in run
    'euc_dists_lstm_{}_{}ms.npy'.format(basename, int(w * 1e3))), euc_dists)
  File "<__array_function__ internals>", line 6, in save
  File "/opt/conda/lib/python3.7/site-packages/numpy/lib/npyio.py", line 525, in save
    file_ctx = open(file, "wb")
OSError: [Errno 30] Read-only file system: './results/tabular/distances/euc_dists_lstm_1556_100ms.npy'
cuda on GPU is available: True
-------------------------------------------------------------------------
-------------------------------------------------------------------------
X_train (71999, 11), X_val (24000, 11), X_test(24000, 11), y_train (71999, 7), y_val (24000, 7), y_test (24000, 7)
[1/740] Training loss: 4.7051	 Validation loss: 2.7927
[2/740] Training loss: 3.7455	 Validation loss: 2.0293
[3/740] Training loss: 2.4862	 Validation loss: 1.1860
[4/740] Training loss: 1.3741	 Validation loss: 0.6292
[5/740] Training loss: 0.7145	 Validation loss: 0.3905
[10/740] Training loss: 0.1981	 Validation loss: 0.2604
[15/740] Training loss: 0.1059	 Validation loss: 0.1822
[20/740] Training loss: 0.0605	 Validation loss: 0.1349
[25/740] Training loss: 0.0377	 Validation loss: 0.1033
[30/740] Training loss: 0.0249	 Validation loss: 0.0809
[35/740] Training loss: 0.0172	 Validation loss: 0.0654
[40/740] Training loss: 0.0128	 Validation loss: 0.0549
[45/740] Training loss: 0.0100	 Validation loss: 0.0473
[50/740] Training loss: 0.0084	 Validation loss: 0.0424
[55/740] Training loss: 0.0075	 Validation loss: 0.0391
[60/740] Training loss: 0.0070	 Validation loss: 0.0369
[65/740] Training loss: 0.0064	 Validation loss: 0.0352
[70/740] Training loss: 0.0059	 Validation loss: 0.0341
[75/740] Training loss: 0.0260	 Validation loss: 0.0459
[80/740] Training loss: 0.0055	 Validation loss: 0.0321
[85/740] Training loss: 0.0045	 Validation loss: 0.0318
[90/740] Training loss: 0.0044	 Validation loss: 0.0326
[95/740] Training loss: 0.0225	 Validation loss: 0.0483
[100/740] Training loss: 0.0093	 Validation loss: 0.0278
[105/740] Training loss: 0.0053	 Validation loss: 0.0334
[110/740] Training loss: 0.0072	 Validation loss: 0.0318
[115/740] Training loss: 0.0052	 Validation loss: 0.0326
[120/740] Training loss: 0.0050	 Validation loss: 0.0301
[125/740] Training loss: 0.0113	 Validation loss: 0.0358
[130/740] Training loss: 0.0046	 Validation loss: 0.0304
[135/740] Training loss: 0.0077	 Validation loss: 0.0374
[140/740] Training loss: 0.0077	 Validation loss: 0.0300
[145/740] Training loss: 0.0055	 Validation loss: 0.0311
[150/740] Training loss: 0.0071	 Validation loss: 0.0421
[155/740] Training loss: 0.0065	 Validation loss: 0.0348
[160/740] Training loss: 0.0050	 Validation loss: 0.0309
[165/740] Training loss: 0.0082	 Validation loss: 0.0372
[170/740] Training loss: 0.0049	 Validation loss: 0.0312
