INFO:root:Model on GPU is True
INFO:root:LSTM Base: hidden_dim: 64, n_epochs: 740, batch_size: 1024.
INFO:root:Trace path: data/flipped/1556.csv
INFO:root:Prediction window = 100.0 ms
INFO:root:[1/740] Training loss: 4.6183	 Validation loss: 2.7293
INFO:root:[2/740] Training loss: 3.6290	 Validation loss: 1.8840
INFO:root:[3/740] Training loss: 2.3609	 Validation loss: 1.0385
INFO:root:[4/740] Training loss: 1.2934	 Validation loss: 0.5463
INFO:root:[5/740] Training loss: 0.6880	 Validation loss: 0.3627
INFO:root:[10/740] Training loss: 0.2021	 Validation loss: 0.2697
INFO:root:[15/740] Training loss: 0.1079	 Validation loss: 0.1919
INFO:root:[20/740] Training loss: 0.0617	 Validation loss: 0.1405
INFO:root:[25/740] Training loss: 0.0386	 Validation loss: 0.1065
INFO:root:[30/740] Training loss: 0.0258	 Validation loss: 0.0825
INFO:root:[35/740] Training loss: 0.0182	 Validation loss: 0.0655
INFO:root:[40/740] Training loss: 0.0136	 Validation loss: 0.0537
INFO:root:[45/740] Training loss: 0.0107	 Validation loss: 0.0455
INFO:root:[50/740] Training loss: 0.0089	 Validation loss: 0.0401
INFO:root:[55/740] Training loss: 0.0077	 Validation loss: 0.0365
INFO:root:[60/740] Training loss: 0.0071	 Validation loss: 0.0343
INFO:root:[65/740] Training loss: 0.0067	 Validation loss: 0.0330
INFO:root:[70/740] Training loss: 0.0063	 Validation loss: 0.0316
INFO:root:[75/740] Training loss: 0.0099	 Validation loss: 0.0289
INFO:root:[80/740] Training loss: 0.0055	 Validation loss: 0.0290
INFO:root:[85/740] Training loss: 0.0049	 Validation loss: 0.0297
INFO:root:[90/740] Training loss: 0.0048	 Validation loss: 0.0298
INFO:root:[95/740] Training loss: 0.0194	 Validation loss: 0.0752
INFO:root:[100/740] Training loss: 0.0051	 Validation loss: 0.0275
INFO:root:[105/740] Training loss: 0.0044	 Validation loss: 0.0277
INFO:root:[110/740] Training loss: 0.0069	 Validation loss: 0.0341
INFO:root:[115/740] Training loss: 0.0086	 Validation loss: 0.0371
INFO:root:[120/740] Training loss: 0.0064	 Validation loss: 0.0285
INFO:root:[125/740] Training loss: 0.0039	 Validation loss: 0.0271
INFO:root:[130/740] Training loss: 0.0109	 Validation loss: 0.0424
INFO:root:[135/740] Training loss: 0.0057	 Validation loss: 0.0279
INFO:root:[140/740] Training loss: 0.0045	 Validation loss: 0.0265
INFO:root:[145/740] Training loss: 0.0140	 Validation loss: 0.0398
INFO:root:[150/740] Training loss: 0.0048	 Validation loss: 0.0269
INFO:root:[155/740] Training loss: 0.0041	 Validation loss: 0.0287
INFO:root:[160/740] Training loss: 0.0119	 Validation loss: 0.0317
INFO:root:[165/740] Training loss: 0.0038	 Validation loss: 0.0281
INFO:root:[170/740] Training loss: 0.0059	 Validation loss: 0.0287
INFO:root:[175/740] Training loss: 0.0082	 Validation loss: 0.0300
INFO:root:[180/740] Training loss: 0.0056	 Validation loss: 0.0314
INFO:root:[185/740] Training loss: 0.0057	 Validation loss: 0.0291
INFO:root:[190/740] Training loss: 0.0062	 Validation loss: 0.0299
INFO:root:[195/740] Training loss: 0.0048	 Validation loss: 0.0308
INFO:root:[200/740] Training loss: 0.0080	 Validation loss: 0.0331
INFO:root:[205/740] Training loss: 0.0044	 Validation loss: 0.0283
INFO:root:[210/740] Training loss: 0.0082	 Validation loss: 0.0369
INFO:root:[215/740] Training loss: 0.0044	 Validation loss: 0.0279
INFO:root:[220/740] Training loss: 0.0066	 Validation loss: 0.0319
INFO:root:[225/740] Training loss: 0.0053	 Validation loss: 0.0308
INFO:root:[230/740] Training loss: 0.0069	 Validation loss: 0.0330
INFO:root:[235/740] Training loss: 0.0053	 Validation loss: 0.0283
INFO:root:[240/740] Training loss: 0.0058	 Validation loss: 0.0338
INFO:root:[245/740] Training loss: 0.0053	 Validation loss: 0.0288
