python -m UserPrediction6DOF run -a rnn -m lstm -w 100 -d data/flipped
INFO:root:Model LSTM with Sliding Window on GPU with cuda: False
INFO:root:RNN model is LSTM with Sliding Window: hidden_dim: 32, batch_size: 256, n_epochs: 2000, dropout: 0, layers: 1, window: [100.]
INFO:root:-------------------------------------------------------------------------
INFO:root:Trace path: data/flipped/1556.csv
INFO:root:-------------------------------------------------------------------------
X.shape: (120019, 10)
len(X): 120019
Past 60 values for predict in 20 in future
y.shape: (120019, 7)
X_w.shape: (119940, 60, 10)
y_w.shape: (119940, 1, 7)
INFO:root:X_train (71964, 60, 10), X_val (23988, 60, 10), X_test(23988, 60, 10), y_train (71964, 1, 7), y_val (23988, 1, 7), y_test (23988, 1, 7)
INFO:root:[1/2000] Training loss: 2.8726	 Validation loss: 0.6552
INFO:root:[2/2000] Training loss: 0.8216	 Validation loss: 0.4909
INFO:root:[3/2000] Training loss: 0.3405	 Validation loss: 0.3928
INFO:root:[4/2000] Training loss: 0.2051	 Validation loss: 0.2416
INFO:root:[5/2000] Training loss: 0.1043	 Validation loss: 0.1973
INFO:root:[10/2000] Training loss: 0.0532	 Validation loss: 0.1492
INFO:root:[15/2000] Training loss: 0.0381	 Validation loss: 0.0851
INFO:root:[20/2000] Training loss: 0.0264	 Validation loss: 0.0935
INFO:root:[25/2000] Training loss: 0.0216	 Validation loss: 0.0612
INFO:root:[30/2000] Training loss: 0.0369	 Validation loss: 0.1157
INFO:root:[35/2000] Training loss: 0.0146	 Validation loss: 0.0415
INFO:root:[40/2000] Training loss: 0.0246	 Validation loss: 0.0539
INFO:root:[45/2000] Training loss: 0.0096	 Validation loss: 0.0217
INFO:root:[50/2000] Training loss: 0.0254	 Validation loss: 0.1144
INFO:root:[55/2000] Training loss: 0.0093	 Validation loss: 0.0330
INFO:root:[60/2000] Training loss: 0.0144	 Validation loss: 0.0585
INFO:root:[65/2000] Training loss: 0.0271	 Validation loss: 0.0867
INFO:root:[70/2000] Training loss: 0.0136	 Validation loss: 0.0625
INFO:root:[75/2000] Training loss: 0.0105	 Validation loss: 0.0601
INFO:root:[80/2000] Training loss: 0.0120	 Validation loss: 0.0285
INFO:root:[85/2000] Training loss: 0.0121	 Validation loss: 0.0338
INFO:root:[90/2000] Training loss: 0.0144	 Validation loss: 0.0569
INFO:root:[95/2000] Training loss: 0.0111	 Validation loss: 0.0256
INFO:root:[100/2000] Training loss: 0.0167	 Validation loss: 0.0620
INFO:root:[105/2000] Training loss: 0.0052	 Validation loss: 0.0222
INFO:root:[110/2000] Training loss: 0.0096	 Validation loss: 0.0279
INFO:root:[115/2000] Training loss: 0.0056	 Validation loss: 0.0162
INFO:root:[120/2000] Training loss: 0.0092	 Validation loss: 0.0470
INFO:root:[125/2000] Training loss: 0.0077	 Validation loss: 0.0160
INFO:root:[130/2000] Training loss: 0.0132	 Validation loss: 0.0278
INFO:root:[135/2000] Training loss: 0.0093	 Validation loss: 0.0236
INFO:root:[140/2000] Training loss: 0.0078	 Validation loss: 0.0146
INFO:root:[145/2000] Training loss: 0.0095	 Validation loss: 0.0201
INFO:root:[150/2000] Training loss: 0.0077	 Validation loss: 0.0335
INFO:root:[155/2000] Training loss: 0.0065	 Validation loss: 0.0151
INFO:root:[160/2000] Training loss: 0.0125	 Validation loss: 0.0156
INFO:root:[165/2000] Training loss: 0.0035	 Validation loss: 0.0132
INFO:root:[170/2000] Training loss: 0.0086	 Validation loss: 0.0364
INFO:root:[175/2000] Training loss: 0.0023	 Validation loss: 0.0116
INFO:root:[180/2000] Training loss: 0.0048	 Validation loss: 0.0176
INFO:root:[185/2000] Training loss: 0.0104	 Validation loss: 0.0126
INFO:root:[190/2000] Training loss: 0.0051	 Validation loss: 0.0153
INFO:root:[195/2000] Training loss: 0.0067	 Validation loss: 0.0279
INFO:root:[200/2000] Training loss: 0.0036	 Validation loss: 0.0121
INFO:root:[205/2000] Training loss: 0.0031	 Validation loss: 0.0140
INFO:root:[210/2000] Training loss: 0.0044	 Validation loss: 0.0223
INFO:root:[215/2000] Training loss: 0.0032	 Validation loss: 0.0104
